"Source URL","Destination URL","Type","Category"
"/search-engine-optimization","/white-label-local-seo","Exact","Legacy Service Pages"
"/seo","/white-label-local-seo","Exact","Legacy Service Pages"
"/local-search-marketing","/white-label-local-seo","Exact","Legacy Service Pages"
"/nashville-seo","/white-label-local-seo","Exact","Legacy Service Pages"
"/nashville-local-seo","/white-label-local-seo","Exact","Legacy Service Pages"
"/nashville-local-search-marketing","/white-label-local-seo","Exact","Legacy Service Pages"
"/local-seo-company","/white-label-local-seo","Exact","Legacy Service Pages"
"/white-label-local-ppc","/white-label-paid-media","Exact","PPC/Paid Media"
"/ppc","/white-label-paid-media","Exact","PPC/Paid Media"
"/nashville-ppc","/white-label-paid-media","Exact","PPC/Paid Media"
"/nashville-paid-search-ppc-marketing","/white-label-paid-media","Exact","PPC/Paid Media"
"/social-media-marketing","/white-label-content-marketing","Exact","Social Media"
"/nashville-social-media-marketing","/white-label-content-marketing","Exact","Social Media"
"/facebook-marketing","/white-label-content-marketing","Exact","Social Media"
"/facebook-advertising","/white-label-content-marketing","Exact","Social Media"
"/email-marketing","/white-label-email-marketing","Exact","Email Marketing"
"/nashville-email-marketing","/white-label-email-marketing","Exact","Email Marketing"
"/white-label-topical-content","/white-label-topical-authority","Exact","Content Marketing"
"/content-marketing","/white-label-content-marketing","Exact","Content Marketing"
"/content-marketing-nashville","/white-label-content-marketing","Exact","Content Marketing"
"/about-us","/about","Exact","About/Contact"
"/contact-us","/contact","Exact","About/Contact"
"/services","/white-label-inbound-marketing-services","Exact","About/Contact"
"/roi-calculator","/partner-tools/roi-calculator","Exact","Legacy Calculators"
"/investment-calculator","/partner-tools/investment-calculator","Exact","Legacy Calculators"
"/ad-budget-calculator","/partner-tools/ad-budget-calculator","Exact","Legacy Calculators"
"/seo-calculator","/partner-tools/seo-calculator","Exact","Legacy Calculators"
"/email-calculator","/partner-tools/email-calculator","Exact","Legacy Calculators"
"/content-marketing-calculator","/partner-tools/content-marketing-calculator","Exact","Legacy Calculators"
"/ai-ready-check","/partner-tools/ai-ready-check","Exact","Legacy Calculators"
"/agency-calculator","/partner-tools/roi-calculator","Exact","Legacy Calculators"
"/white-label-inbound-marketing-services/local-seo","/white-label-local-seo","Exact","Nested Service Paths"
"/white-label-inbound-marketing-services/google-maps","/white-label-gbp-seo","Exact","Nested Service Paths"
"/white-label-inbound-marketing-services/paid-media","/white-label-paid-media","Exact","Nested Service Paths"
"/white-label-inbound-marketing-services/email-marketing","/white-label-email-marketing","Exact","Nested Service Paths"
"/white-label-inbound-marketing-services/authority-building","/white-label-local-authority-building","Exact","Nested Service Paths"
"/white-label-inbound-marketing-services/reporting","/white-label-reporting","Exact","Nested Service Paths"
"/white-label-inbound-marketing-services/content-marketing","/white-label-content-marketing","Exact","Nested Service Paths"
"/nashville-tn-online-review-management","/white-label-review-management","Exact","Nashville-Specific"
"/nashville-tn-online-reputation-management","/white-label-review-management","Exact","Nashville-Specific"
"/nashville-mobile-website-design","/white-label-landing-page-design","Exact","Nashville-Specific"
"/nashville-mobile-marketing","/white-label-paid-media","Exact","Nashville-Specific"
"/nashville-mobile-advertising","/white-label-paid-media","Exact","Nashville-Specific"
"/nashville-online-reputation-management","/white-label-review-management","Exact","Nashville-Specific"
"/nashville-web-design","/white-label-landing-page-design","Exact","Nashville-Specific"
"/nashville-qr-code-marketing","/white-label-paid-media","Exact","Nashville-Specific"
"/nashville-digital-marketing","/","Exact","Nashville-Specific"
"/dallas-seo","/white-label-local-seo","Exact","Dallas-Specific"
"/dallas-ppc","/white-label-paid-media","Exact","Dallas-Specific"
"/dallas-digital-marketing","/","Exact","Dallas-Specific"
"/online-reputation-management","/white-label-review-management","Exact","Reputation Management"
"/online-reputation-management-small-businesses","/white-label-review-management","Exact","Reputation Management"
"/online-presence-management-for-startups","/white-label-review-management","Exact","Reputation Management"
"/online-presence-audit-startups","/white-label-review-management","Exact","Reputation Management"
"/conversion-rate-optimization","/white-label-conversion-tracking","Exact","CRO"
"/conversion-rate-optimization-what-you-need-to-know","/blog","Exact","CRO"
"/wp-content","/","Exact","WordPress Cleanup"
"/wp-admin","/","Exact","WordPress Cleanup"
"/wp-login.php","/","Exact","WordPress Cleanup"
"/xmlrpc.php","/","Exact","WordPress Cleanup"
"/blog-old","/blog","Exact","Misc Legacy"
"/portfolios","/case-studies","Exact","Misc Legacy"
"/careers-2","/about","Exact","Misc Legacy"
"/author/admin","/about","Exact","Misc Legacy"
"/author/dialedinweb","/about","Exact","Misc Legacy"
"/dialedin_wp/mobile-marketing","/","Exact","Misc Legacy"
"/contact/","/contact","Exact","Trailing Slash"
"/blog/","/blog","Exact","Trailing Slash"
"/moving-and-storage-seo","/blog","Exact","Legacy Blog Articles"
"/local-seo-for-franchises-moving-firms","/blog","Exact","Legacy Blog Articles"
"/local-link-building-outreach-101-need-know","/blog","Exact","Legacy Blog Articles"
"/local-data-aggregators-matter-ranking-local-business","/blog","Exact","Legacy Blog Articles"
"/local-content-marketing-kpis-which-metrics-should-your-business-track","/blog","Exact","Legacy Blog Articles"
"/ppc-ad-campaigns-why-they-should-differentiate-between-mobile-and-desktop-users","/blog","Exact","Legacy Blog Articles"
"/nine-ways-to-integrate-social-media-into-your-sales-strategy","/blog","Exact","Legacy Blog Articles"
"/content-marketing-gone-green-3-ways-recycle-old-content","/blog","Exact","Legacy Blog Articles"
"/content-marketing-101-what-you-need-to-know","/blog","Exact","Legacy Blog Articles"
"/google-amp-just-one-strategy-in-a-larger-mobile-marketing-puzzle","/blog","Exact","Legacy Blog Articles"
"/google-ama-search-top-7-takeaways","/blog","Exact","Legacy Blog Articles"
"/guide-facebook-messenger-bots-business","/blog","Exact","Legacy Blog Articles"
"/how-to-create-a-twitter-content-strategy-that-doesnt-suck","/blog","Exact","Legacy Blog Articles"
"/how-to-drive-sales-with-pinterest-marketing","/blog","Exact","Legacy Blog Articles"
"/how-to-handle-negative-reviews-like-a-pro","/blog","Exact","Legacy Blog Articles"
"/how-to-increase-organic-traffic-with-rich-snippets-faq-schema","/blog","Exact","Legacy Blog Articles"
"/how-to-optimize-your-linkedin-profile-in-5-easy-steps","/blog","Exact","Legacy Blog Articles"
"/how-to-respond-to-bad-reviews-online","/blog","Exact","Legacy Blog Articles"
"/how-to-save-money-in-google-ads-ppc-part-1-3","/blog","Exact","Legacy Blog Articles"
"/how-to-save-money-in-google-ads-ppc-part-2","/blog","Exact","Legacy Blog Articles"
"/how-to-save-money-in-google-ads-ppc-part-3","/blog","Exact","Legacy Blog Articles"
"/how-to-use-reddit-for-small-business-marketing","/blog","Exact","Legacy Blog Articles"
"/importance-local-seo-small-business","/blog","Exact","Legacy Blog Articles"
"/keywords-for-your-local-seo-campaign","/blog","Exact","Legacy Blog Articles"
